id,text,name,user_location
1625795320650293250,@RizkiR4madani @ganjarpranowo Huum,ceriaselalu😍🇮🇩,"Jawa Timur, Indonesia"
1625762865088184322,@Speedtrap_ @ganjarpranowo Iye Iye 😂🤭,🅰dhiC1huyy 👍🏻☕🚬❤🇲🇨,"Depok, Jawa Barat"
1625734081500655616,@ganjarpranowo Oligarki,zulfaalizulfa@g.mail,
1625708691227025410,@boncusho @ganjarpranowo Iye Iye 😂🤭,🅰dhiC1huyy 👍🏻☕🚬❤🇲🇨,"Depok, Jawa Barat"
1625671938080374784,Safari oh safari https://t.co/DS4HQMehGY,leo98,
1625627968642088969,@reniwnhyuhrtys @yusuf_dumdum @PDemokrat @jokowi @ganjarpranowo Yuhuu,El syakur,"Yogyakarta, Indonesia"
1625079473438879744,@bengkeldodo @aniesbaswedan @ganjarpranowo @AgusYudhoyono @KhofifahIP @erickthohir @ridwankamil @aheryawan… https://t.co/DGB6Nt17OK,Rizky Takemana,KulonUjung
1624983750626140164,@iyoet__1075 @mamang_opik @AirinDatangLagi @ganjarpranowo Mamam duyu ah https://t.co/yMBdcGjZsZ,Engkong_Hono,"DKI Jakarta, Indonesia"
1624823579996217344,@bengkeldodo @aniesbaswedan @ganjarpranowo @AgusYudhoyono @KhofifahIP @erickthohir @ridwankamil @aheryawan… https://t.co/aNRHY44nA1,katimo ktm,
1624619194531856385,@otnayram_me @Dmz_73 @aan_muba @ganjarpranowo Kadrun..otak mesum 😁,Bam's Soemantri 🇮🇩,Indonesia
